,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
667,1,1,0,6,7,0,1,2,2
671,1,1,3,10,7,0,1,2,2
672,1,1,3,2,7,0,1,1,1
673,1,1,0,3,9,0,1,1,1
674,1,1,3,1,7,0,1,1,1
675,1,1,0,1,7,0,1,1,1
676,1,1,1,3,9,0,1,2,2
677,1,1,1,3,9,0,1,2,2
678,1,1,1,3,8,0,1,2,2
680,1,1,3,0,7,0,1,2,2
681,1,1,1,1,7,0,1,1,1
682,1,1,3,10,13,0,1,2,2
685,1,1,3,1,7,0,1,1,1
686,1,1,3,1,7,0,1,1,1
693,1,1,3,2,7,0,1,1,1
694,1,1,3,3,7,0,1,1,1
695,1,1,3,3,7,0,1,1,1
696,1,1,3,3,9,0,1,1,1
697,1,1,3,3,9,0,1,1,1
700,1,2,3,5,7,0,1,1,1
701,1,1,3,5,7,0,1,1,1
702,1,1,3,0,7,0,1,1,1
703,1,1,3,1,2,0,1,1,1
704,1,1,3,1,2,0,1,1,1
705,1,1,3,0,13,0,1,1,1
706,1,1,3,0,13,0,1,1,1
707,1,1,1,10,7,0,1,2,2
708,1,0,1,10,13,0,1,0,0
709,1,1,3,10,7,0,1,0,0
710,1,1,3,10,6,0,1,2,2
711,0,1,3,10,7,0,1,0,0
712,1,1,3,1,7,0,1,2,2
713,1,1,3,1,7,0,1,0,0
714,0,1,3,3,9,0,1,1,1
715,0,1,3,3,10,0,1,2,2
717,1,1,0,3,7,0,1,2,2
718,0,1,0,3,13,0,1,0,0
719,1,1,1,3,7,0,1,1,1
720,1,1,3,3,7,0,1,1,1
723,1,1,3,10,7,0,1,2,2
724,1,1,3,2,7,0,1,1,1
726,1,1,0,1,2,0,1,1,1
727,1,0,3,1,2,0,1,1,1
728,1,0,1,3,7,0,1,1,1
731,1,1,1,3,7,0,1,1,1
733,1,1,0,10,13,0,1,1,1
736,1,1,3,1,7,0,1,2,2
738,1,1,3,1,10,0,1,1,1
739,1,1,3,10,7,0,1,1,1
740,1,1,1,10,7,0,1,1,1
741,1,1,3,10,6,0,1,1,1
743,1,1,3,10,7,0,1,1,1
744,1,1,3,10,7,0,1,1,1
745,1,1,3,3,7,0,1,0,0
749,0,1,0,3,7,0,1,1,1
750,0,1,0,3,7,0,1,1,1
751,0,1,0,8,7,0,1,1,1
754,0,0,1,3,9,0,1,2,2
755,1,1,0,3,7,0,1,1,1
756,1,1,0,3,8,0,1,1,1
757,1,1,0,3,7,0,1,1,1
758,1,1,0,3,9,0,1,1,1
762,1,0,0,3,9,0,1,1,1
763,1,0,1,3,9,0,1,1,1
765,1,1,1,3,14,0,1,1,1
766,1,1,0,0,7,0,1,0,0
767,1,1,3,10,6,0,1,0,0
768,1,1,3,10,7,0,1,2,2
770,1,1,3,10,7,0,1,0,0
771,1,1,0,1,7,0,1,1,1
772,1,0,0,1,7,0,1,1,1
773,1,0,0,1,7,0,1,1,1
774,1,0,1,1,7,0,1,1,1
777,1,1,1,10,7,0,1,0,0
779,1,0,3,10,7,0,1,0,0
781,1,1,1,0,7,0,1,1,1
