,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
480,2,6,1,1,1,2,8,2,3,2,24
481,3,4,2,4,2,1,9,1,3,2,63
482,2,3,1,1,1,2,1,1,3,1,48
483,2,2,1,1,1,2,9,1,3,2,46
484,2,1,1,1,1,2,9,1,3,2,22
485,2,1,1,1,1,2,9,2,3,1,22
486,1,3,1,1,1,1,9,3,3,1,30
487,1,6,1,1,1,1,9,3,3,1,13
488,2,6,1,1,1,2,2,1,3,1,60
489,3,3,1,1,1,2,9,1,3,2,28
490,2,6,1,1,1,1,9,1,3,2,26
491,2,6,1,1,1,2,9,1,3,1,31
492,2,6,1,1,1,2,1,1,3,1,29
493,6,6,1,1,1,2,9,2,3,2,44
494,6,6,1,1,1,3,9,1,3,1,30
495,6,6,1,1,1,5,9,1,3,2,19
496,6,6,1,1,1,5,9,2,3,2,18
497,3,6,1,4,1,3,9,1,3,1,20
498,3,6,1,4,1,3,9,2,3,2,19
499,2,3,2,4,1,1,9,1,3,1,38
500,2,3,2,4,1,2,9,1,3,2,23
501,2,1,1,1,1,2,9,2,3,2,37
502,2,6,1,7,1,2,1,1,3,1,14
503,1,6,1,7,1,1,9,1,3,1,32
504,2,6,1,1,1,2,1,1,3,1,33
505,2,6,1,1,1,2,22,1,2,1,76
506,2,6,1,1,1,2,1,1,3,1,21
507,1,3,1,1,1,1,3,1,3,2,31
508,1,6,1,1,1,1,11,2,2,2,62
509,1,6,1,4,1,1,9,2,2,1,18
510,2,6,1,1,1,1,5,1,3,1,48
511,2,3,1,1,1,2,9,1,3,2,42
512,2,6,1,1,1,2,9,1,3,1,35
513,4,3,1,1,1,2,9,2,3,1,7
514,4,3,1,1,1,2,9,2,3,1,9
515,2,1,1,1,1,1,9,1,3,2,43
516,2,1,1,1,1,2,9,1,3,2,20
517,2,6,1,1,1,2,9,1,3,1,50
518,3,3,1,1,1,1,9,1,3,1,27
519,2,6,1,1,1,1,9,2,3,2,85
520,2,3,1,1,1,1,1,1,3,1,16
521,1,6,1,1,1,1,11,3,3,1,29
522,1,6,1,4,1,1,8,3,2,2,41
523,2,1,9,1,9,2,9,1,3,1,65
524,2,3,1,1,1,1,1,1,3,1,13
525,2,6,1,1,1,1,8,2,3,2,38
526,2,6,1,1,1,2,9,1,3,2,32
527,2,6,1,1,1,2,1,1,3,1,21
528,3,6,1,1,1,1,9,2,3,1,20
529,3,6,1,1,1,1,9,2,3,2,17
530,2,6,1,1,1,2,1,1,3,1,29
531,3,1,1,1,1,2,9,1,3,2,30
532,1,3,1,1,1,1,11,2,3,2,80
533,2,3,1,1,1,1,9,2,3,2,43
534,1,6,1,1,1,1,19,3,2,1,26
535,1,6,1,1,1,1,9,3,2,1,8
536,2,6,1,1,1,2,1,1,3,1,42
537,2,6,1,1,1,2,9,1,3,2,24
538,3,6,1,6,1,2,9,1,2,1,39
539,2,6,1,4,1,2,4,1,2,1,39
540,2,1,1,1,1,1,9,1,3,1,28
541,2,4,1,1,1,2,1,1,3,1,31
542,2,1,1,1,1,2,5,1,3,1,36
543,2,6,1,1,1,1,1,1,3,1,10
544,4,2,1,1,1,2,9,1,3,2,37
545,4,2,1,1,1,2,9,2,3,2,37
546,4,2,1,1,1,3,9,2,3,2,10
547,4,2,1,1,1,3,9,2,3,1,11
548,4,2,1,1,1,4,9,1,3,1,35
549,1,6,1,7,1,1,9,3,3,1,58
550,1,3,1,1,1,1,9,1,3,1,27
551,2,3,1,1,1,1,9,1,3,1,30
552,2,3,1,1,1,1,9,2,3,2,30
553,1,6,1,1,1,1,9,3,3,1,1
554,2,6,1,1,1,1,1,1,3,2,25
555,1,6,1,1,1,1,9,3,3,1,3
556,3,3,1,1,1,3,1,1,2,1,22
557,2,3,1,1,1,2,9,1,3,2,38
558,2,3,1,1,1,2,9,2,3,2,46
559,2,3,1,1,1,2,9,1,3,1,25
560,2,6,1,1,1,2,1,1,3,1,33
561,1,6,1,4,1,1,9,1,3,1,30
562,3,6,1,1,1,3,1,1,3,1,18
563,1,6,1,1,1,1,9,3,3,1,14
